Study Hours,Attendance,Marks
6.24,72.71,60.14
14.31,76.3,100.0
11.25,93.45,100.0
9.38,70.3,76.19
3.18,94.13,68.55
3.18,58.97,45.05
1.81,89.96,54.47
13.13,93.14,100.0
9.42,63.18,82.53
10.91,74.37,95.66
1.29,62.45,39.34
14.58,86.8,100.0
12.65,79.09,100.0
3.97,83.59,64.37
3.55,63.84,47.96
3.57,64.53,50.11
5.26,56.87,53.36
8.35,69.49,74.19
7.05,80.19,71.88
5.08,93.61,74.53
9.57,85.01,96.89
2.95,74.59,57.92
5.09,97.89,68.11
6.13,87.37,80.77
7.38,96.86,83.76
11.99,78.74,100.0
3.8,66.65,47.77
8.2,57.38,70.39
9.29,87.67,91.87
1.65,60.46,31.06
9.51,68.62,84.88
3.39,78.96,63.15
1.91,80.4,48.88
14.28,82.03,100.0
14.52,62.48,100.0
12.32,72.09,100.0
5.26,82.77,56.62
2.37,98.64,73.25
10.58,87.74,100.0
7.16,96.52,82.65
2.71,89.3,48.33
7.93,81.63,81.92
1.48,63.64,32.01
13.73,85.0,100.0
4.62,83.05,66.7
10.28,82.11,87.73
5.36,77.04,70.94
8.28,78.79,84.83
8.65,70.05,83.17
3.59,78.37,57.17
14.57,63.89,97.74
11.85,91.23,100.0
14.15,63.36,100.0
13.53,58.82,90.1
9.37,74.63,90.93
13.91,84.62,100.0
2.24,74.7,48.34
3.74,67.45,63.24
1.63,80.12,48.68
5.55,70.62,61.18
6.44,96.98,77.54
4.8,96.52,80.44
12.6,77.61,97.91
5.99,69.75,68.53
4.93,88.17,65.96
8.6,56.65,69.01
2.97,76.36,58.2
12.23,70.13,94.32
2.04,96.42,56.41
14.82,55.54,100.0
11.81,79.88,100.0
3.78,88.33,66.3
1.08,76.83,40.53
12.42,58.84,88.95
10.9,98.76,100.0
11.21,78.31,96.79
11.8,82.64,95.37
2.04,65.65,46.62
6.02,76.76,68.9
2.62,74.31,41.69
13.08,58.37,89.96
9.73,59.78,76.0
5.63,92.69,74.14
1.89,65.79,51.79
5.35,63.77,59.85
5.55,77.72,62.42
11.21,89.59,100.0
9.93,57.79,76.76
13.42,80.96,100.0
7.61,60.36,71.14
2.67,56.64,47.74
10.99,57.37,83.49
11.65,92.54,100.0
8.86,60.31,78.98
11.79,57.03,83.95
7.91,74.71,87.97
8.32,92.98,89.72
6.99,66.81,64.16
1.36,73.98,52.03
2.51,56.8,51.34
1.44,75.21,44.64
9.91,80.99,87.53
5.4,80.69,66.49
8.12,69.96,79.15
13.71,69.2,100.0
4.49,59.8,55.2
6.75,71.51,69.99
11.58,59.48,95.12
4.2,89.5,64.2
2.08,98.48,64.78
5.06,98.65,73.17
3.26,93.93,65.4
14.02,82.04,100.0
12.31,86.54,100.0
9.87,67.83,81.37
13.2,83.38,100.0
12.25,75.5,95.34
3.61,76.69,52.7
13.5,89.1,100.0
8.55,67.69,81.49
12.3,69.31,84.25
13.55,96.61,100.0
